,MF: KIRC,MF: BRCA,MF: READ,MF: PRAD,MF: STAD,MF: HNSC,MF: LUAD,MF: THCA,MF: BLCA,MF: ESCA,MF: LIHC,MF: UCEC,MF: COAD,MF: LUSC,MF: CESC,MF: KIRP,METH: KIRC,METH: BRCA,METH: READ,METH: PRAD,METH: STAD,METH: HNSC,METH: LUAD,METH: THCA,METH: BLCA,METH: ESCA,METH: LIHC,METH: UCEC,METH: COAD,METH: LUSC,METH: CESC,METH: KIRP,GE: KIRC,GE: BRCA,GE: READ,GE: PRAD,GE: STAD,GE: HNSC,GE: LUAD,GE: THCA,GE: BLCA,GE: ESCA,GE: LIHC,GE: UCEC,GE: COAD,GE: LUSC,GE: CESC,GE: KIRP,ohnolog,essentiality_percentage,essentiality_oneCellLine,expressed_tissues_rnaseq,ppin_degree,ppin_hub,ppin_betweenness,ppin_clustering,complexes,mirna,ollivier_mean,ollivier_std,ollivier_min,ollivier_max,ollivier_median,ollivier_degree,forman_mean,forman_std,forman_min,forman_max,forman_median,forman_degree,positive_curvature_degree,negative_curvature_degree,curvature_homophily,labels
COL4A2,0.4170051,0.8220969,1.7955157,0.38033226,2.1228137,2.0109458,1.1351136,0.66295165,-0.46643153,-0.43505645,0.463808,0.47205043,1.3497623,1.1542068,1.1057696,1.2561841,-0.13674307,2.3445647,6.3263555,1.5075827,2.3505023,0.8550051,2.8922474,-0.057354145,2.943967,2.9607654,0.49976948,-0.278643,5.893353,0.94121367,2.181184,-0.31133145,0.89021647,-0.4218173,-0.2761635,-0.040827926,0.3089149,2.7644932,-0.17994735,0.076719046,-0.31362885,0.36696106,1.5815172,-0.1000878,0.10591869,-0.21801755,0.72702104,-0.5068295,1.2060251,-0.4090951,0.6653069,0.5746932,0.28744525,1.7305322,0.021262871,0.33506247,1.4915004,-0.417188,0.4381961,1.7430757,-1.3427022,0.83144367,0.97188115,0.28744525,0.6337688,-0.03259317,0.4468943,0.5400543,0.72419196,0.28744525,0.3828047,0.00089106575,-0.5274385,0.0
RABEP1,0.41632086,1.8115958,-0.36630076,-0.4674756,-0.69487053,0.88013846,1.1499127,0.66333115,0.36121055,-0.43505645,-0.5232038,-0.2612734,-0.6455928,-0.40537044,0.2435978,1.2533795,-0.48063937,-0.30254906,-0.1649951,-0.5235672,-0.55806136,-0.046035435,0.1956562,-0.3047985,0.22602817,-0.43713507,-0.056620583,-0.32145935,-0.49418527,0.0158289,-0.40290815,-0.37255406,-0.3429101,-0.5536781,-0.44961715,-0.81599593,-0.41984022,-0.58151376,-0.23732617,-0.46851817,-0.054412313,-0.549969,-0.3513194,-0.19761585,-0.6051006,-0.4324238,-0.2889816,-0.54784095,1.2060251,-0.33679515,0.6653069,0.7038051,-0.5635859,-0.5778569,-0.19647995,0.9403586,-0.2724866,-0.34918836,-0.12765352,0.6814277,0.18127699,0.30969942,-0.08100529,-0.5635858,-0.081046686,0.34165183,0.2545295,-0.025802245,0.3617627,-0.5635858,-0.48995194,-0.35747463,-0.34618804,1.0
TRADD,0.4168872,-0.48673418,-0.36630076,-0.4674756,-0.21873595,-0.6517486,-0.51688725,-0.4201376,-0.46643153,-0.43505645,-0.5232038,-0.74412304,-0.6455928,-0.40537044,-0.5805805,-0.5959015,-0.50942546,-0.53047264,-0.44899735,-0.33848527,-0.60116905,-0.52425396,-0.5860201,-0.31930426,-0.46838233,-0.49749058,-0.5205308,-0.45245692,-0.50416,-0.2810136,-0.53019285,-0.4573235,0.6354591,-0.7343691,-0.6909512,-0.72990483,-0.64091027,-0.60861444,-0.38154805,-0.5756746,-0.2628756,-0.60843647,-0.25333503,-0.74791473,-0.7742509,-0.8471861,-0.1526382,0.08846348,-0.82917017,-0.42340797,0.6653069,0.5746932,0.41837308,1.7305322,0.08203557,-0.6863252,1.3935012,-0.5191875,-0.45913395,0.16140996,-0.8087043,0.37538868,-0.29697663,0.4183731,-0.35439622,1.9510655,-2.7014756,0.34866166,-0.048990507,0.4183731,0.13843283,0.57427615,0.6441227,0.0
BRAF,-0.31004956,0.4941042,-0.36630076,4.616539,0.66238,0.85652375,4.4770617,300.25497,1.1656736,1.1494966,-0.5232038,0.66698843,5.220121,-0.40537044,-0.5805805,1.2499747,-0.59140253,-0.58059657,-0.55503863,-0.54635394,-0.64721,-0.56381303,-0.5884921,-0.48959172,-0.624069,-0.6098404,-0.57850355,-0.5331182,-0.51803577,-0.59328014,-0.5721813,-0.5508443,-0.6719869,-0.26038095,-0.74726474,-0.4667127,-0.5087037,-0.56626666,-0.81791145,-0.6507838,-0.4597312,-0.32762522,-0.8308998,-0.8166381,-0.7411186,-0.85881215,-0.59737253,-0.56029963,1.2060251,-0.16689937,0.6653069,0.7038051,0.74569273,1.7305322,0.07281391,-0.5525769,0.3155091,-0.62118703,-0.54954624,0.24888727,-0.49709636,0.017296107,-0.66655505,0.74569273,-0.3082639,0.3081458,-0.5085174,0.34866166,-0.42752776,0.74569273,0.10352257,1.2193344,0.40238518,1.0
XPC,1.8704127,0.5038846,1.7749771,0.38269666,0.2456693,-0.6517486,-0.51688725,-0.4201376,-0.46643153,-0.43505645,-0.5232038,-0.2565223,-0.6455928,-0.40537044,-0.5805805,-0.5959015,-0.46543413,-0.5187408,-0.49770725,-0.5388212,-0.58052105,-0.56286275,-0.5488584,-0.42290077,-0.5726513,-0.47226506,-0.5689536,-0.47398588,-0.4859566,-0.4673566,-0.51000905,-0.48129922,-0.3706304,-0.15971407,-0.5500633,-0.091503754,-0.6710589,-0.13540083,-0.0028975944,-0.60230535,-0.45695356,-0.29870993,-0.69173294,-0.08698456,-0.6469552,0.23166117,-0.020973576,-0.5212901,-0.82917017,-0.50466835,-1.5030656,0.7038051,0.3921875,1.7305322,-0.12630369,-0.08248647,0.3155091,0.2968086,-0.37188193,-0.31713182,0.008053836,0.49321514,-0.39960137,0.39218754,-0.4786894,1.8623496,-2.502699,0.5566972,-0.14966531,0.39218754,-0.053573623,0.78929555,0.76345557,1.0
SF3A3,1.1423724,0.1678579,-0.36630076,-0.4674756,-0.69487053,-0.26933426,-0.51688725,-0.4201376,-0.46643153,-0.43505645,-0.5232038,-0.74412304,-0.6455928,-0.40537044,1.1115313,0.33081084,-0.40305695,-0.28718048,-0.42997363,-0.0802082,-0.53845704,-0.40967003,-0.44397157,-0.465807,-0.10559173,-0.42852208,-0.11229377,0.0017164637,-0.515177,-0.25980082,-0.45708442,-0.39810684,-0.56663173,-0.73875856,-0.5139509,-0.46479177,-0.4529882,-0.37718335,-0.5661781,-0.4141961,-0.68934935,-0.16776316,-0.29278323,-0.7635218,-0.39872482,-0.5326211,-0.62683076,-0.44668028,-0.82917017,1.0274675,0.6653069,0.7038051,1.6621878,1.7305322,-0.036035486,1.197375,0.6095069,-0.24718882,1.2759602,-0.018449461,0.57497483,0.87878364,1.3812565,1.6621878,1.5784768,0.09466231,0.42765778,1.4221249,1.6342922,1.6621878,2.3901448,-0.23801939,0.23532629,0.0
ATG10,-0.31004956,-0.48673418,-0.36630076,0.3821197,-0.69487053,-0.6517486,-0.51688725,-0.4201376,-0.46643153,-0.43505645,0.46039844,-0.5005796,-0.15731356,-0.40537044,-0.5805805,0.33119398,-0.5146439,-0.565299,-0.433583,-0.50221467,-0.5445767,-0.42554295,-0.5649226,-0.4106295,-0.499979,-0.366589,-0.47299856,-0.5044116,-0.4654392,-0.27210563,-0.5342847,-0.41825104,-0.65503985,-0.3007475,-0.6418396,-0.6487114,-0.5316912,-0.44406083,-0.7620462,-0.68638265,-0.53445506,-0.68814486,-0.18763296,-0.80284035,-0.74211746,-0.8241778,-0.6883564,-0.61740595,-0.82917017,-0.28166407,0.6653069,0.5746932,-0.5897714,-0.5778569,-0.19649075,1.3520501,-0.37048587,0.16080926,-0.12900431,0.3209509,-0.18634187,-0.5494504,0.09418351,-0.5897714,0.054849967,0.4788552,0.110255934,-0.10901645,0.29733083,-0.5897714,-0.48995194,-0.40525672,0.46770966,0.0
LAMTOR2,0.4170904,-0.48673418,-0.36630076,-0.4674756,-0.69487053,0.12021418,-0.51688725,-0.4201376,-0.46643153,-0.43505645,-0.5232038,-0.74412304,-0.6455928,-0.40537044,-0.5805805,0.33217156,-0.5417972,-0.4684611,-0.48805586,-0.53711987,-0.43757156,-0.5415399,-0.48218486,-0.45840386,-0.57849115,-0.4969021,-0.5706618,-0.4920315,-0.48634082,-0.5821614,-0.4828448,-0.5111984,-0.6455204,0.45712873,-0.76885194,-0.2596897,-0.68902344,-0.7351886,-0.25564942,-0.2622533,-0.028191892,-0.6906422,-0.20046212,0.22458649,-0.8124116,-0.8165505,-0.31289402,-0.3910448,-0.82917017,1.0274675,0.6653069,0.7038051,1.2694042,1.7305322,0.5563321,-0.25846148,0.80550545,-0.7571864,-0.2990902,0.5628879,-0.88508916,0.86086684,-0.028696664,1.2694042,0.14020534,0.3558299,-0.53095996,1.1641608,0.16041309,1.2694042,0.9413689,1.028206,0.1271725,0.0
PXN,0.41143355,-0.15947662,-0.36630076,-0.4674756,0.20802699,0.1061151,0.014921534,1.7217377,-0.46643153,1.1255379,-0.5232038,0.18611686,1.3328062,-0.40537044,0.98095363,-0.5959015,0.04125797,-0.4298626,-0.12840837,-0.3098261,-0.49596024,-0.3489658,-0.32147264,0.55795336,-0.58544296,-0.10783889,-0.40931568,0.14377478,-0.07532131,-0.5908707,0.146659,0.24097008,-0.6863377,-0.03438343,-0.48988244,-0.3506375,-0.8374863,0.6718883,-0.080474585,-0.3187455,-0.7702137,-0.7848332,-0.24429764,-0.19092512,-0.29576704,-0.12276416,-0.6224271,-0.028862163,-0.82917017,-0.44058874,0.6653069,0.7038051,1.5443527,1.7305322,1.0855833,-0.9983307,1.8834976,0.09280955,-0.8684031,-0.30126357,-0.6559189,-0.32481074,-0.82531095,1.5443527,-0.89084315,0.3089835,-1.537669,-0.034123667,-0.79801106,1.5443527,-0.367766,3.3217463,0.3382658,0.0
CDC23,0.4159193,-0.48673418,-0.36630076,-0.4674756,0.25059786,-0.26611954,0.038497936,-0.4201376,-0.46643153,-0.43505645,-0.5232038,-0.012515829,-0.15299046,-0.40537044,-0.5805805,0.33064267,-0.47247624,-0.5248219,-0.5332118,-0.543806,-0.48462304,-0.47831252,-0.4831299,-0.19981349,-0.58106273,-0.36949334,-0.54617417,-0.50195336,-0.4623533,-0.46438727,-0.4581441,-0.54448086,-0.6702103,-0.75982183,-0.65272224,-0.5845636,-0.39855513,-0.42785132,-0.74246293,-0.4533425,-0.7841198,-0.47318676,0.08991197,-0.5618159,-0.6251684,-0.71508586,-0.54607064,-0.57891226,-0.82917017,1.4399438,0.6653069,0.7038051,3.5082705,1.7305322,0.17748632,0.18783282,1.5894998,0.058809694,0.34402642,0.6202691,-1.0717115,0.78060424,0.69835895,3.5082705,0.60297066,1.6078514,-1.4478986,2.3790882,1.187296,3.5082705,3.4374528,1.6971554,-0.6286908,0.0
PEX14,-0.31004956,-0.48673418,-0.36630076,-0.4674756,-0.21870461,-0.26578456,-0.51688725,-0.4201376,-0.46643153,-0.43505645,-0.5232038,-0.4973632,-0.6455928,-0.40537044,0.26599374,0.3324088,-0.45302582,-0.49089405,-0.5031561,-0.093645014,-0.5841238,-0.31041494,-0.58395666,-0.13137338,-0.39826417,-0.60347855,-0.29716876,-0.35849097,-0.49156436,-0.51564467,-0.50723,-0.37966773,-0.5457034,-0.49261078,-0.6871142,-0.0055737337,-0.5891005,-0.75958467,-0.36068174,-0.49157915,-0.019416366,-0.5882417,-0.42905512,-0.74907774,-0.7064458,-0.5655833,-0.7721196,-0.6201098,-0.82917017,-0.09836656,0.6653069,0.7038051,0.14342459,-0.5778569,-0.08703626,0.45442757,0.11951055,-0.62118703,0.3775907,0.7934865,-0.3687983,0.8013052,0.59025425,0.1434246,0.21821393,1.9551244,-2.4610198,0.4485187,0.6517061,0.1434246,0.295529,-0.1424552,0.005988181,0.0
EEF1D,0.41468692,-0.48673418,-0.36630076,-0.4674756,0.6399203,0.4814221,0.024795566,0.66281337,0.35025197,-0.43505645,0.4546824,-0.26928774,-0.6455928,-0.40537044,-0.5805805,-0.5959015,-0.54144776,-0.5525781,-0.38303515,-0.4887867,-0.60728824,-0.53535676,-0.5831466,-0.36277163,-0.514569,-0.60513026,-0.5408704,-0.505215,-0.4837152,-0.5298729,-0.5720567,-0.50572604,-0.15132783,-0.44579372,-0.4980882,-0.506105,-0.41512054,-0.7421,-0.4408361,-0.5014809,-0.7420642,-0.7736494,-0.42655826,-0.4161505,-0.27432537,-0.7117146,-0.22697328,-0.6443837,-0.82917017,-0.4729906,0.6653069,0.7038051,-0.53740025,-0.5778569,-0.19127548,0.39143655,-0.07648803,-0.6891867,-0.7827343,0.77836186,-1.4684665,-0.9411701,-0.5823567,-0.53740025,-0.43644038,0.06460577,0.22888087,-0.15062355,-0.50001365,-0.53740025,-0.54231733,-0.23801939,-1.5503681,0.0
MCM10,1.1386124,-0.48673418,-0.36630076,-0.4674756,-0.22324243,-0.26705596,0.58582807,0.6310782,0.35143697,-0.43505645,1.4083112,-0.01358305,0.3414608,-0.40537044,-0.5805805,0.3299931,-0.4471018,-0.40174598,-0.31116468,-0.3517378,-0.5792361,-0.4088967,-0.49968636,-0.47104105,-0.5273954,-0.5780164,-0.53028804,-0.4612417,-0.43278694,-0.48619735,-0.4770858,-0.080018416,1.2681851,2.2112596,0.5799958,-0.061995145,1.8092622,0.65611583,2.8731782,0.9956898,2.7995222,3.4832563,2.774868,4.0789323,1.2560506,3.0602357,3.2762785,0.84743154,-0.82917017,1.1690525,0.6653069,-1.3619834,0.012496762,-0.5778569,-0.16981368,0.19479315,-0.17448731,-0.07718964,0.17660032,0.30239335,-0.05144755,0.34158707,0.13373947,0.012496745,0.22668678,0.0489218,-0.30974048,0.157269,0.26511487,0.012496745,-0.018663358,0.048673157,0.47871205,0.0
RPL13A,-0.31004956,-0.15593143,-0.36630076,0.38289395,-0.22339603,0.11828255,-0.51688725,0.6634686,-0.46643153,-0.43505645,-0.5232038,-0.49781296,-0.6455928,-0.40537044,0.25397828,-0.5959015,-0.46799546,-0.5112776,-0.48087552,-0.43446842,-0.63365656,-0.45603043,-0.49172267,-0.3397917,-0.45556757,-0.5261982,-0.5653268,-0.4398163,-0.45632443,-0.42473277,-0.48873264,-0.53645045,-0.17389019,-0.42833436,-0.4714099,-0.049224492,-0.40088508,-0.021742683,-0.5645608,-0.47315052,-0.6447109,-0.689834,-0.5362176,-0.18212318,-0.54297066,-0.5978916,-0.012895995,-0.4083782,-0.82917017,2.7448227,0.6653069,0.7038051,2.0811567,1.7305322,0.14845909,0.24033517,1.1975025,1.6228023,0.5426443,0.79268,-1.3273492,0.7829553,0.5886274,2.081157,0.62781554,1.0430142,-1.8390404,1.563589,0.53089637,2.081157,2.5297859,0.3353657,0.7007453,0.0
SHH,0.41614693,-0.48673418,-0.36630076,0.3820445,-0.21904452,-0.6517486,0.02734634,-0.4201376,0.35726807,-0.43505645,-0.5232038,-0.74412304,-0.6455928,-0.40537044,-0.5805805,1.258009,0.06854111,0.38585976,-0.5347431,-0.385979,0.331458,0.57393473,0.74505144,-0.34107402,-0.38630307,0.009768201,-0.29415488,0.10409295,-0.41576496,-0.04236091,0.8361549,0.43205371,0.20577466,1.3883995,1.5383549,1.5347832,-0.5215788,0.8042392,0.62819374,1.125404,5.6226707,1.6830535,-0.24820441,-0.79416233,1.3625364,2.052803,-0.22530538,-0.12128564,1.2060251,-0.50466835,-1.5030656,-1.2974274,0.30053806,1.7305322,0.5479569,-0.57246685,0.80550545,-0.17918916,-1.0757122,0.38294494,-1.0485991,-0.06761314,-0.6846641,0.30053803,-0.723071,1.496193,-2.5283475,0.1988761,-0.6852552,0.30053803,-0.43758652,1.1476612,-0.60731834,0.0
CBL,-0.31004956,-0.15647465,-0.36630076,-0.4674756,-0.24541017,-0.26829338,0.030878404,-0.4201376,-0.46643153,2.721244,0.45767707,0.43902683,0.35087028,-0.40537044,-0.5805805,0.32413056,-0.5496253,-0.5546827,-0.5000699,-0.5192105,-0.63002557,-0.5316148,-0.58704907,-0.45610538,-0.592202,-0.571633,-0.5355565,-0.5290656,-0.49290708,-0.5050449,-0.547632,-0.5080885,-0.44090098,0.031546365,-0.48248112,-0.23031841,-0.21820882,-0.2680314,-0.16432102,-0.19497007,-0.07169085,-0.6370177,-0.30941552,-0.22384197,-0.7591604,-0.50077856,-0.48105422,-0.6499123,1.2060251,-0.4413128,0.6653069,0.5746932,2.5132189,1.7305322,1.500991,-0.83949697,7.3714576,0.19480911,-0.62824154,-0.2507754,-0.6272247,-0.4644291,-0.62267816,2.5132189,-1.1703292,1.0677836,-2.348807,-0.1755878,-1.2087642,2.5132189,0.69699705,3.63233,0.19094187,1.0
MRPS18A,-0.31004956,-0.48673418,-0.36630076,-0.4674756,-0.69487053,0.119903736,-0.51688725,-0.4201376,-0.46643153,-0.43505645,-0.5232038,-0.74412304,0.36290914,-0.40537044,-0.5805805,-0.5959015,-0.4266846,-0.5300399,-0.5439589,-0.44459474,-0.50692093,-0.42157835,-0.123693876,-0.39373174,-0.52158993,-0.58414584,-0.57659864,-0.4077545,-0.51318485,-0.5179589,-0.35384327,-0.37609804,-0.56669545,-0.60297877,-0.3469674,0.010028271,-0.65053403,-0.50508505,-0.40508208,-0.7293893,-0.602609,-0.70930624,-0.41397956,-0.67174166,-0.6424269,-0.43776754,-0.7978244,-0.55423146,-0.82917017,1.033242,0.6653069,0.7038051,0.5100226,1.7305322,-0.19643828,1.3329164,0.3155091,-0.3151885,1.6680841,-0.6755062,1.2023052,0.9255178,1.6526772,0.5100226,1.3166517,-0.80804014,1.0720798,0.7148042,1.1752151,0.5100226,0.9937343,-0.42914775,0.72878236,0.0
PYGO1,-0.31004956,-0.48673418,-0.36630076,-0.4674756,-0.69487053,-0.6517486,-0.51688725,2.797777,1.9874277,-0.43505645,-0.5232038,-0.023070693,-0.6455928,-0.40537044,-0.5805805,-0.5959015,2.1833525,1.3671092,1.2519054,-0.51613426,0.15833086,1.1283567,-0.11866859,-0.37505963,0.97149646,0.68035233,1.3217298,0.3209068,2.324111,0.17923029,1.4934454,0.66590184,1.2084298,0.8225742,1.1267941,-0.23053774,-0.6834476,0.39361462,0.26707363,0.5631711,1.5665412,-0.053924326,1.1658448,1.2292925,0.2976346,-0.16328026,1.5138175,0.44852227,1.2060251,-0.50466835,-1.5030656,-0.13542156,-0.39337963,-0.5778569,-0.1964835,1.2913797,-0.37048587,1.1808045,-0.013894642,0.887784,-0.107472904,0.69483554,0.19128567,-0.39337963,0.11244032,0.4031325,-0.14302434,0.123983316,0.32551977,-0.39337963,-0.367766,-0.21412835,0.0807829,0.0
WAS,-0.31004956,0.83606917,-0.36630076,-0.4674756,-0.69487053,0.11269117,-0.51688725,-0.4201376,1.1823673,-0.43505645,-0.5232038,0.7383414,-0.6455928,-0.40537044,-0.5805805,-0.5959015,2.8255854,1.4932377,0.9398098,0.3020385,-0.1154419,2.31533,1.5434912,-0.080710955,1.0871094,0.19955973,1.1943303,1.2404283,0.94966125,1.1384473,1.1613113,1.5311234,1.3845546,-0.50793815,0.40286776,-0.54359794,-0.29541183,-0.36233503,0.43187365,-0.12770905,-0.12594624,-0.4505085,-0.47088027,-0.47930104,0.6972029,0.84042543,-0.20934877,0.4527234,1.2060251,-0.50466835,-1.5030656,0.5746932,-0.09224555,-0.5778569,-0.039993707,0.11697551,0.9035047,-0.043189783,-0.23291375,0.60628885,-0.07196501,0.2869819,-0.69680154,-0.09224554,-0.01899518,0.26735714,-0.2584432,0.13230474,-0.14563832,-0.09224554,-0.24558008,0.16812839,0.44970745,1.0
CRHR1,-0.31004956,-0.15885432,-0.36630076,-0.4674756,-0.24984989,-0.26776877,-0.51688725,0.6602102,-0.46643153,-0.43505645,1.4335304,0.20163657,-0.6455928,-0.40537044,-0.5805805,-0.5959015,0.3193251,0.283457,0.849872,0.36967418,0.9975906,0.11236555,0.8454433,-0.23410057,-0.09795964,1.6982915,-0.1586353,-0.43059146,2.8444405,-0.31609032,-0.06153777,0.408499,1.3630352,1.8029028,-0.8127217,0.48630196,2.8159075,1.2164487,-0.6684471,-0.27575845,1.5020341,1.1168166,-0.85164565,3.1388183,-0.82285285,-0.84351707,2.2659972,2.1832814,1.2060251,-0.46678343,0.6653069,-1.8138747,0.82424945,1.7305322,-0.09171762,1.0906442,-0.2724866,-0.34918836,0.90302837,0.93294567,0.21988662,0.884192,1.3540546,0.82424945,0.664141,0.9571169,-0.70729434,0.8978754,1.0946753,0.82424945,0.87154835,0.31147465,0.4620779,0.0
MPP5,0.41289872,-0.48673418,-0.36630076,-0.4674756,-0.69487053,0.1152295,0.027842103,-0.4201376,0.3520733,-0.43505645,-0.5232038,0.45476234,-0.6455928,-0.40537044,1.044055,-0.5959015,-0.46159932,-0.5512873,-0.5343561,-0.54153174,-0.636159,-0.55928636,-0.5818431,-0.45258173,-0.59555507,-0.56151915,-0.55245024,-0.5136543,-0.48734233,-0.52451813,-0.5220787,-0.52457744,0.5468819,-0.2599678,0.0039000078,-0.108078934,-0.63466537,0.025049686,0.08712627,0.12606673,-0.43018827,-0.4422976,-0.8081858,-0.596728,0.21690376,0.13113707,-0.41238958,0.34386477,-0.82917017,-0.50466835,-1.5030656,0.7038051,-0.5635859,-0.5778569,0.40383536,-1.3925602,0.21750978,0.56880736,-0.9444812,2.0655055,-1.0716803,-0.5790763,0.2851551,-0.5635858,0.5558209,-0.8585106,0.95345485,-0.067409344,0.43424854,-0.5635858,-0.48995194,-0.35747463,-1.4469837,0.0
NUP153,-0.31004956,0.17127617,-0.36630076,-0.4674756,-0.22228266,0.08550542,0.027743397,-0.4201376,-0.46643153,-0.43505645,2.4018502,-0.27739543,0.3318075,-0.40537044,1.8220114,0.32439134,-0.4951531,-0.54371965,-0.41358832,-0.5301683,-0.47102094,-0.5393655,-0.55001915,-0.33579573,-0.5249437,-0.5938365,-0.5424916,-0.47851238,-0.4783313,-0.45062134,-0.53959036,-0.51889056,-0.5914496,-0.5459162,-0.3206233,-0.3718012,0.11139989,-0.58062756,-0.8161097,0.11512101,-0.78467125,-0.5045851,-0.44091648,-0.75667065,-0.49158353,-0.54381,-0.52849215,-0.22466284,-0.82917017,1.102006,0.6653069,0.7038051,1.217033,1.7305322,0.1392782,-0.22468837,0.3155091,-0.34918836,-0.29199585,0.57957226,-0.45339936,0.719749,-0.51755625,1.217033,-0.15388572,0.5146014,-0.4892809,1.0143753,-0.51612157,1.217033,0.36534956,1.7210463,0.16135107,0.0
STAT5B,0.41603214,-0.1564312,-0.36630076,-0.4674756,0.7140499,0.116161674,-0.51688725,-0.4201376,-0.46643153,1.1622003,-0.5232038,-0.0070624407,-0.14237545,-0.40537044,1.1091847,-0.5959015,-0.40035582,-0.21043696,-0.43520522,-0.41586038,-0.46334618,-0.47446314,-0.57640046,0.27201447,-0.6102082,-0.30347106,-0.5493747,-0.38775113,-0.46203682,-0.059597276,-0.33306885,-0.50733954,-0.51485705,0.74071985,-0.3343758,0.16466904,-0.741933,-0.61583394,-0.028577635,-0.6679576,0.387572,-0.5511965,-0.6985205,1.3080189,-0.7979373,0.050007127,0.84996486,-0.5400313,1.2060251,0.01091464,0.6653069,0.7038051,0.7718783,1.7305322,0.35668835,-1.0793502,1.7854983,-0.009189928,-0.90462434,0.15084074,-0.7775888,0.34103096,-0.83256435,0.7718783,-0.62445086,0.21405742,-0.57905114,0.63158995,-0.54028356,0.7718783,-0.29794547,1.8166106,0.36252448,1.0
ANK1,0.40665618,1.4389282,3.7342634,2.0150783,1.9959584,0.11546377,2.6835082,3.905694,0.36042085,1.1496972,2.4019437,1.3201509,2.7596025,-0.40537044,-0.5805805,3.9896703,1.7650051,3.3866098,4.146318,0.76430917,2.3357542,2.9542077,4.5332317,0.11382972,1.0973973,2.69952,2.3676572,1.6299274,4.958244,0.02966521,2.0484247,0.4693455,0.53650403,0.5628618,0.26811713,-0.60290146,-0.6899108,0.6133424,-0.6914465,0.37524664,0.4536914,0.49943855,-0.15991114,-0.15900955,-0.2516084,-0.3611895,-0.10606917,0.6676191,1.2060251,-0.50466835,-1.5030656,-1.1037599,0.56239367,1.7305322,-0.062115084,0.07482477,-0.07648803,0.77280635,-0.20572016,0.2650235,-0.65925455,0.6422144,-0.24683385,0.5623937,0.17698945,-0.10165965,0.12628633,0.61494714,0.11208918,0.5623937,0.295529,0.6220583,0.5268653,1.0
RAF1,-0.31004956,0.82151073,-0.36630076,-0.4674756,0.68927664,-0.27241832,-0.51688725,-0.4201376,0.3548596,-0.43505645,-0.5232038,-0.49936125,0.36078736,-0.40537044,1.058866,2.182164,-0.3264203,-0.5394883,-0.43285963,-0.5066633,-0.539158,-0.5148433,-0.5657501,-0.45802408,-0.5274716,-0.50594306,-0.5364628,-0.47760588,-0.4857418,-0.45619103,-0.5182588,-0.5056864,-0.081779815,-0.5770541,-0.48393148,-0.6563544,-0.4638112,-0.032473665,-0.550377,-0.35880497,-0.7841971,0.07572741,-0.50322783,-0.64910877,-0.42946318,-0.38801223,-0.61720335,-0.29582524,1.2060251,1.3093499,0.6653069,0.7038051,1.1908474,1.7305322,0.7548747,-0.8275793,1.0015041,0.3988081,-0.80808216,0.1380194,-0.56248724,-0.1762691,-0.84625506,1.1908475,-0.941655,1.5677733,-2.8617797,0.13230474,-0.7094172,1.1908475,0.13843283,1.9838479,0.3383535,1.0
CRNKL1,0.41549245,0.81020784,1.7051489,-0.4674756,-0.69487053,0.10735764,1.683956,-0.4201376,0.3183186,1.163101,-0.5232038,-0.024613775,-0.6455928,1.136182,-0.5805805,0.3269969,2.97654,-0.3061767,2.3765664,0.568913,0.92328054,3.6701112,0.08683654,0.89324945,2.1865015,1.0132533,3.273039,0.8534818,1.8210971,2.303084,1.335528,0.49713063,-0.59169036,-0.18812142,-0.119138055,-0.23500648,0.17515847,-0.4534891,-0.5579863,-0.55229026,-0.252207,-0.24311875,-0.29426172,-0.53061175,-0.38963836,-0.48730746,-0.77696145,-0.37571964,-0.82917017,1.2389611,0.6653069,0.7038051,1.6883732,1.7305322,-0.1773548,1.1445633,0.21750978,1.044805,1.2518648,0.0044670245,0.5910216,0.88041234,1.3637927,1.6883733,1.5456765,0.14339866,0.4404821,1.4387677,1.6101302,1.6883733,2.3901448,-0.1902373,0.2498852,1.0
SPC24,-0.31004956,-0.48673418,-0.36630076,-0.4674756,-0.69487053,-0.6517486,-0.51688725,-0.4201376,-0.46643153,-0.43505645,-0.5232038,-0.74412304,-0.6455928,-0.40537044,-0.5805805,-0.5959015,-0.5522554,-0.55453646,-0.5524224,-0.4778597,-0.57606024,-0.527861,-0.5879603,-0.40121865,-0.53902483,-0.5868817,-0.45644715,-0.4520531,-0.49441075,-0.5189891,-0.53107196,-0.3379903,1.1086743,2.5273495,-0.26333264,1.8329194,0.51724136,0.8796016,1.8967206,1.6180851,2.1751735,1.6814886,3.642491,2.9794211,0.36524642,2.2503374,2.4414904,1.0814923,-0.82917017,5.021036,0.6653069,-0.3936451,0.65404326,1.7305322,-0.17987981,1.229208,0.70750624,0.63680696,0.64758897,0.47677577,0.08667487,0.8827353,0.46651024,0.65404326,0.71941775,0.23930755,0.049340423,0.79801834,0.732246,0.65404326,0.95882404,-0.118564166,-0.46495762,0.0
